#Parameters = {Er=4.4; IE=60; P1=0; P2=-49.398; P3=177.553; P4=36.514; PAA_FA_EXCITELIST=1; PAA_FA_FREQ=2.25; PAA_FA_SCANPHI=0; PAA_FA_SCANTHETA=0; PAA_UC_ANGLE=90; PAA_UC_DS1=60; PAA_UC_DS2=80; PAA_UC_PHI=0; PAA_UC_THETA=0; antx=41; anty=30.2; dumy=0; insx=1.5; insy=8; sbh=1.2; sbx=80; sby=80; trx=2.98}
#"Theta / deg"	"Gain,Phi=0.0 (502) []"
#-------------------------------------
-132.00000000000	-20.826091617847
-131.00000000000	-21.778225504159
-130.00000000000	-22.890101600173
-129.00000000000	-24.204178842313
-128.00000000000	-25.780414354735
-127.00000000000	-27.699682933034
-126.00000000000	-30.039482035771
-125.00000000000	-32.663540176601
-124.00000000000	-34.326625575737
-123.00000000000	-33.087872167103
-122.00000000000	-30.363624358075
-121.00000000000	-27.782908446428
-120.00000000000	-25.624747156250
-119.00000000000	-23.827466236405
-118.00000000000	-22.305917504846
-117.00000000000	-20.994741692411
-116.00000000000	-19.847303589067
-115.00000000000	-18.830251863845
-114.00000000000	-17.919258308254
-113.00000000000	-17.096161443156
-112.00000000000	-16.347097515758
-111.00000000000	-15.661266569220
-110.00000000000	-15.030102243907
-109.00000000000	-14.446701153618
-108.00000000000	-13.905422321102
-107.00000000000	-13.401600372298
-106.00000000000	-12.931336418953
-105.00000000000	-12.491343051455
-104.00000000000	-12.078827718802
-103.00000000000	-11.691403808648
-102.00000000000	-11.327022032002
-101.00000000000	-10.983916908932
-100.00000000000	-10.660564637190
-99.000000000000	-10.355649649366
-98.000000000000	-10.068037880862
-97.000000000000	-9.7967552802227
-96.000000000000	-9.5409704603978
-95.000000000000	-9.2999806577312
-94.000000000000	-9.0732003641821
-93.000000000000	-8.8601521475290
-92.000000000000	-8.6604592880822
-91.000000000000	-8.4738399485411
-90.000000000000	-8.3001026631566
-89.000000000000	-8.1391268350106
-88.000000000000	-7.9909247135619
-87.000000000000	-7.8555440942394
-86.000000000000	-7.7331316839038
-85.000000000000	-7.6239177730413
-84.000000000000	-7.5282177636178
-83.000000000000	-7.4464347266304
-82.000000000000	-7.3790630874707
-81.000000000000	-7.3266935779704
-80.000000000000	-7.2900196418265
-79.000000000000	-7.2698455379241
-78.000000000000	-7.2670964576100
-77.000000000000	-7.2828310621192
-76.000000000000	-7.3182569616233
-75.000000000000	-7.3747498065137
-74.000000000000	-7.4538768563751
-73.000000000000	-7.5574261487116
-72.000000000000	-7.6874427295558
-71.000000000000	-7.8462738606946
-70.000000000000	-8.0366257214293
-69.000000000000	-8.2616349239938
-68.000000000000	-8.5249592138244
-67.000000000000	-8.8308930705519
-66.000000000000	-9.1845155428552
-65.000000000000	-9.5918793186176
-64.000000000000	-10.060250953536
-63.000000000000	-10.598409984262
-62.000000000000	-11.217002691875
-61.000000000000	-11.928906188419
-60.000000000000	-12.749439036738
-59.000000000000	-13.695910391806
-58.000000000000	-14.785013931895
-57.000000000000	-16.023788081615
-56.000000000000	-17.384088062860
-55.000000000000	-18.727886401575
-54.000000000000	-19.703185704458
-53.000000000000	-19.795495064575
-52.000000000000	-18.854910776634
-51.000000000000	-17.310807909137
-50.000000000000	-15.625381695003
-49.000000000000	-14.020986896976
-48.000000000000	-12.564186420079
-47.000000000000	-11.260430964603
-46.000000000000	-10.096587964516
-45.000000000000	-9.0560519112607
-44.000000000000	-8.1234668340875
-43.000000000000	-7.2858734874523
-42.000000000000	-6.5327045791662
-41.000000000000	-5.8554620693073
-40.000000000000	-5.2473541199336
-39.000000000000	-4.7029753970861
-38.000000000000	-4.2180480133328
-37.000000000000	-3.7892191720620
-36.000000000000	-3.4139062634808
-35.000000000000	-3.0901802079876
-34.000000000000	-2.8166794444664
-33.000000000000	-2.5920468863839
-32.000000000000	-2.4167538631341
-31.000000000000	-2.2904678559551
-30.000000000000	-2.2136724461404
-29.000000000000	-2.1872985812889
-28.000000000000	-2.2127528302838
-27.000000000000	-2.2919656962991
-26.000000000000	-2.4274642287983
-25.000000000000	-2.6224755866344
-24.000000000000	-2.8810716573268
-23.000000000000	-3.2083699822933
-22.000000000000	-3.6108141388988
-21.000000000000	-4.0965691641211
-20.000000000000	-4.6760875539482
-19.000000000000	-5.3629337622892
-18.000000000000	-6.1750074913099
-17.000000000000	-7.1363868510669
-16.000000000000	-8.2801046987496
-15.000000000000	-9.6521159356932
-14.000000000000	-11.316359272049
-13.000000000000	-13.353320382773
-12.000000000000	-15.808901680744
-11.000000000000	-18.358816657805
-10.000000000000	-19.374533854725
-9.0000000000000	-17.661972440527
-8.0000000000000	-15.080692892817
-7.0000000000000	-12.784461062909
-6.0000000000000	-10.908730093066
-5.0000000000000	-9.3840976612264
-4.0000000000000	-8.1348865982469
-3.0000000000000	-7.1042801309500
-2.0000000000000	-6.2519454661658
-1.0000000000000	-5.5492745799350
0.0000000000000	-4.9757621277692
1.0000000000000	-4.5163665833177
2.0000000000000	-4.1606255253378
3.0000000000000	-3.9007241628526
4.0000000000000	-3.7312660846542
5.0000000000000	-3.6487222573384
6.0000000000000	-3.6511134315706
7.0000000000000	-3.7377870289739
8.0000000000000	-3.9092419863391
9.0000000000000	-4.1669497957384
10.000000000000	-4.5130950492964
11.000000000000	-4.9501000690070
12.000000000000	-5.4796763880817
13.000000000000	-6.1009079091143
14.000000000000	-6.8064444034128
15.000000000000	-7.5752776268956
16.000000000000	-8.3603665035938
17.000000000000	-9.0722499884342
18.000000000000	-9.5715214755708
19.000000000000	-9.7034423474218
20.000000000000	-9.3857913648616
21.000000000000	-8.6734157544686
22.000000000000	-7.7129885022535
23.000000000000	-6.6499736568163
24.000000000000	-5.5823842309547
25.000000000000	-4.5627105601723
26.000000000000	-3.6141310135584
27.000000000000	-2.7439730013940
28.000000000000	-1.9518267266364
29.000000000000	-1.2338602649068
30.000000000000	-0.58497655614043
31.000000000000	0.00015624267842442
32.000000000000	0.52664117565789
33.000000000000	0.99916790916359
34.000000000000	1.4220623701984
35.000000000000	1.7989122319065
36.000000000000	2.1331646690436
37.000000000000	2.4278089327264
38.000000000000	2.6855111804645
39.000000000000	2.9086572396266
40.000000000000	3.0993907039791
41.000000000000	3.2596461491549
42.000000000000	3.3911777558884
43.000000000000	3.4955838280722
44.000000000000	3.5743277409916
45.000000000000	3.6287558333527
46.000000000000	3.6601127057632
47.000000000000	3.6695543286101
48.000000000000	3.6581593035845
49.000000000000	3.6269385696946
50.000000000000	3.5768437979475
51.000000000000	3.5087746790354
52.000000000000	3.4235852748128
53.000000000000	3.3220895763089
54.000000000000	3.2050663876859
55.000000000000	3.0732636361655
56.000000000000	2.9274021918225
57.000000000000	2.7680770283539
58.000000000000	2.5961920712437
59.000000000000	2.4122793255210
60.000000000000	2.2169825287454
61.000000000000	2.0109321519294
62.000000000000	1.7947474326181
63.000000000000	1.5690382254374
64.000000000000	1.3344066903663
65.000000000000	1.0914488349554
66.000000000000	0.84075592309186
67.000000000000	0.58291575959929
68.000000000000	0.31851385690001
69.000000000000	0.048134487095633
70.000000000000	-0.22763837988855
71.000000000000	-0.50822025402747
72.000000000000	-0.79302542316716
73.000000000000	-1.0814663779307
74.000000000000	-1.3729533723922
75.000000000000	-1.6668941312932
76.000000000000	-1.9626937162557
77.000000000000	-2.2597545647892
78.000000000000	-2.5574767168178
79.000000000000	-2.8552582438547
80.000000000000	-3.1524958957397
81.000000000000	-3.4485859789048
82.000000000000	-3.7429254783626
83.000000000000	-4.0349134329261
84.000000000000	-4.3239525695189
85.000000000000	-4.6094511978030
86.000000000000	-4.8908253607800
87.000000000000	-5.1675012306022
88.000000000000	-5.4389177317440
89.000000000000	-5.7045293661790
90.000000000000	-5.9637836204808
91.000000000000	-6.2162260215042
92.000000000000	-6.4613511379651
93.000000000000	-6.6987067780567
94.000000000000	-6.9278720918512
95.000000000000	-7.1484606942566
96.000000000000	-7.3601236456016
97.000000000000	-7.5625522349830
98.000000000000	-7.7554805167094
99.000000000000	-7.9386875575847
100.00000000000	-8.1119993620513
101.00000000000	-8.2752904528389
102.00000000000	-8.4284850961251
103.00000000000	-8.5715581716101
104.00000000000	-8.7045356986595
105.00000000000	-8.8274950391301
106.00000000000	-8.9405648051488
107.00000000000	-9.0439245056018
108.00000000000	-9.1378039682325
109.00000000000	-9.2224825750681
110.00000000000	-9.2982883476025
111.00000000000	-9.3655969151213
112.00000000000	-9.4248303952457
113.00000000000	-9.4764562107433
114.00000000000	-9.5209858614639
115.00000000000	-9.5589736654356
116.00000000000	-9.5910154791473
117.00000000000	-9.6177474041948
118.00000000000	-9.6398444859895
119.00000000000	-9.6580194102148
120.00000000000	-9.6730212041296
121.00000000000	-9.6856339525204
122.00000000000	-9.6966755418769
123.00000000000	-9.7069964509498
124.00000000000	-9.7173168693096
125.00000000000	-9.7288459942143
126.00000000000	-9.7423883966527
127.00000000000	-9.7589140551419
128.00000000000	-9.7794210990417
129.00000000000	-9.8049355304857
130.00000000000	-9.8365112588503
131.00000000000	-9.8752305046498
132.00000000000	-9.9222046342067
133.00000000000	-9.9785754913289
134.00000000000	-10.045517297860
135.00000000000	-10.124239201716
136.00000000000	-10.215988559243
137.00000000000	-10.322055048781
138.00000000000	-10.443775724468
139.00000000000	-10.582541133770
